"UniqueID","SiteName","Prov","Prov_2","Year","Month","Day","DateObserved","Month_alpha","Observer_anon","Observer_contact_anon","Lat","Long","Source_anon","Source_type","SpeciesAlphaCode","CommonName","LatinName","GroupAs","Individual_HPAIVstatus","AgeClass","BreedingStatus","LandWater","Colony_Y_N","IFcolony_complete_partial_survey","IFcolony_boat_foot_heli_plane","n_FoundNeurological","n_FoundDead","TotalObserved","Comments","id","concatenated_ids_eccc","concatenated_ids_trevor","concatenated_ids_cwhc","concatenated_ids_cfia","Duplicate"
"MT-1278","Gooseberry Cove, NL","NL","Newfoundland",2022,7,30,2022-07-30,"July","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",48.03467,-53.6404,"d964586e64933d008f84b9451c2a97ed","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Water",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"unique"
"MT-1279","Gooseberry Cove, NL","NL","Newfoundland",2022,7,30,2022-07-30,"July","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",48.03467,-53.6404,"d964586e64933d008f84b9451c2a97ed","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"unique"
"MT-1282","Harbour St Mary's Bay, NL","NL","Newfoundland",2022,7,30,2022-07-30,"July","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.83341,-53.7482,"d964586e64933d008f84b9451c2a97ed","Public","RAZO","Razorbill","Alca torda","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","old",NA,NA,NA,NA,NA,NA
"MT-1283","Harbour St Mary's Bay, NL","NL","Newfoundland",2022,7,30,2022-07-30,"July","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.83341,-53.7482,"d964586e64933d008f84b9451c2a97ed","Public","BLKI","Black-legged Kittiwake","Rissa tridactyla","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","old",NA,NA,NA,NA,NA,NA
"CT-13","Funk Island","NL","Newfoundland",2022,9,15,2022-09-15,"September","93c35f4927d5abc18bf8067403c72117","662b7b238307de8b728a48dc8f38ca12",49.75877,-53.17636,"e8c75a824612d4463b0cc2ecf3e5d71a","ECCC","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land","Y","Complete Survey","Helicopter",NA,"3055","3055","Full aerial survey. Most recent estimated pairs = 10000 in 2018",NA,NA,NA,NA,NA,NA
"CT-10","Cape St Marys","NL","Newfoundland",2022,9,8,2022-09-08,"September","93c35f4927d5abc18bf8067403c72117","662b7b238307de8b728a48dc8f38ca12",46.83323,-54.19889,"e8c75a824612d4463b0cc2ecf3e5d71a","ECCC","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land","Y","Complete Survey","Helicopter, boat",NA,"1069","1069","Full aerial survey. Most recent estimated pairs = 14000 in 2018",NA,NA,NA,NA,NA,NA
"MT-1284","Harbour St Mary's Bay, NL","NL","Newfoundland",2022,7,30,2022-07-30,"July","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.83341,-53.7482,"d964586e64933d008f84b9451c2a97ed","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","2-3 days old",NA,NA,NA,NA,NA,NA
"CT-9","Cape St Marys","NL","Newfoundland",2022,7,29,2022-07-29,"July","93c35f4927d5abc18bf8067403c72117","662b7b238307de8b728a48dc8f38ca12",46.83323,-54.19889,"e8c75a824612d4463b0cc2ecf3e5d71a","ECCC","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land","Y","Complete Survey","Helicopter, boat",NA,"314","314","Full aerial survey. Most recent estimated pairs = 14000 in 2018",NA,NA,NA,NA,NA,NA
"MT-1827","Pigeon Cove","NL","Newfoundland",2022,8,4,2022-08-04,"August","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.684411,-53.26,"d964586e64933d008f84b9451c2a97ed","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,"Adult",NA,"Land",NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA,NA,"unique"
"MT-1829","Pigeon Cove","NL","Newfoundland",2022,8,4,2022-08-04,"August","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.684411,-53.26,"d964586e64933d008f84b9451c2a97ed","Public","BLKI","Black-legged Kittiwake","Rissa tridactyla","seabirds",NA,"Adult",NA,"Land",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
"CT-117","Funk Island","NL","Newfoundland",2022,7,27,2022-07-27,"July","ff1b99259a35d8e392cf1df559c4aeb8","b0c8987e33d25c0e50c87ef5a7b5bacd",49.75877,-53.17636,"e8c75a824612d4463b0cc2ecf3e5d71a","ECCC","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land","Y","Complete Survey; all seabirds","Helicopter",NA,"142","142","Full aerial survey. Most recent estimated pairs = 10000 in 2018",NA,NA,NA,NA,NA,NA
"CT-209","Avalon Peninsula-St. John's","NL","Newfoundland",2022,8,5,2022-08-05,"August","ed027a8f82f759525f699da49bf00796","ed027a8f82f759525f699da49bf00796",46.8223,-54.1846,"f414a8cd50b41d7450e730acf0b75aba","Citizen science platform","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land","Y","Partial","Land",NA,"50","50","At least 50 carcasses on the big rock colony","S116403348",NA,NA,NA,NA,NA
"MT-1837","Pigeon Cove","NL","Newfoundland",2022,8,4,2022-08-04,"August","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.684411,-53.26,"d964586e64933d008f84b9451c2a97ed","Public","RAZO","Razorbill","Alca torda","seabirds",NA,NA,NA,"Land",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA
"CT-7","Baccalieu Island","NL","Newfoundland",2022,9,14,2022-09-14,"September","93c35f4927d5abc18bf8067403c72117","662b7b238307de8b728a48dc8f38ca12",48.13554,-52.8007,"e8c75a824612d4463b0cc2ecf3e5d71a","ECCC","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land","Y","Complete Survey","Helicopter",NA,"25","25","Full aerial survey. Most recent estimated pairs = 3500 in 2018",NA,NA,NA,NA,NA,NA
"MT-1897","Pigeon Cove","NL","Newfoundland",2022,8,4,2022-08-04,"August","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.684411,-53.26,"d964586e64933d008f84b9451c2a97ed","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Water",NA,NA,NA,NA,"8","8",NA,NA,NA,NA,NA,NA,"unique"
"MT-1898","Pigeon Cove","NL","Newfoundland",2022,8,4,2022-08-04,"August","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.684411,-53.26,"d964586e64933d008f84b9451c2a97ed","Public","COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Water",NA,NA,NA,NA,"36","36",NA,NA,NA,NA,NA,NA,"unique"
"MT-1831","Pigeon Cove","NL","Newfoundland",2022,8,4,2022-08-04,"August","3385b63b076abdcbdf2f0e3a3f2724bc","1f5f77584ed20db7256d05b4c520b6de",46.684411,-53.26,"d964586e64933d008f84b9451c2a97ed","Public","COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"28","28",NA,NA,NA,NA,NA,NA,NA
