UniqueID,SiteName,Prov,Prov_2,Year,Month,Day,DateObserved,Month_alpha,Observer,Observer_anon,Observer_contact,Observer_contact_anon,Lat,Long,Source,Source_anon,SpeciesAlphaCode,Source_type,CommonName,LatinName,GroupAs,SpeciesGroup,Species_HPAIstatus,Individual_HPAIVstatus,AgeClass,BreedingStatus,LandWater,Colony_Y_N,IFcolony_complete_partial_survey,IFcolony_boat_foot_heli_plane,n_FoundNeurological,n_FoundDead,TotalObserved,Comments,id,concatenated_ids_eccc,concatenated_ids_trevor,concatenated_ids_cwhc,concatenated_ids_cfia,Species_HPAIstatus_DateApplicable,Region,Complete_Mortality_Dataset,HPAI_Mortality_Dataset_Baseline,Double_Count_Analysis_Dataset,Scenario_A_0day_1km,Scenario_B_1day_1km,Scenario_C_5day_1km,Scenario_D_0day_5km,Scenario_E_5day_5km,Scenario_F_1day_5km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-6161,Fog Is. MBS,QC,QC,2022,6,15,2022-06-15,June,,fb3eaff23fb8dcac675cc21e2b2901e5,,f4523f06d2c9aff006da19a8b60b452f,50.19999,-60.528,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Partial,Foot,,0,0,"1 BLGU, 1 HERG, 1 fem. COEI eaten by predator
 - INCLUDED IN COUNT .RTLO (14), COEI (2088), RBGU (122), HERG (174), GBBG (54), CATE (8), RAZO (10), BLGU (27), Terns sp. (99)",,,,,,2022-04-01 to 2022-09-30,North Shore,retain,retain,retain,retain,retain,exclude,retain,exclude,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-65,Les Rocher East,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.532741,-60.9607146,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 5,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-66,Poule Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.497618,-61.037628,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 5,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-67,West Crid Island,NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.5067815,-61.0586828,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 5,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-68,"Green Island, Janvrin Harbour",NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.5225538,-61.1537788,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; Eiders found from 2013 onwards; Map 5,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-69,"Green Island, Janvrin Harbour",NS,NS,2022,6,21,2022-06-21,June,,02ae4a2f3dd1d7b7a9b109290ddaff15,,230894a1db06bffeb2d97d81c6e9019d,45.5225538,-61.1537788,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Complete,Helicopter,,0,0,No dead birds on eider and cormorants colonies along Estern Shore and S/E Cape Breton; 50 pairs or more located in 2019 survey; Map 5,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-171,Big Glace Bay (1 common eider hatch year),NS,NS,2022,6,7,2022-06-07,June,,,,,46.177858,-59.91,,c3d28517c3c85900b9fe46320e8b0942,COEI,Provincial,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,,,,1,,1,HATCH YEAR euthanized,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,exclude,exclude,exclude,exclude,exclude,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-1839,Sentier du Banc,QC,QC,2022,5,22,2022-05-22,May,,1f181178d9b33f03d063e1297a035674,,497c60c1ce233231a915e10622935a3a,48.848429,-64.208674,,34ac4808eb528fe570864264379c2283,COEI,Parks Canada,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,,,,,,14,,2022-HWC-0000-GASFU-0001,,,,,2022-04-01 to 2022-09-30,North Shore,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-1960,Warrens Island,NL,Newfoundland,2022,8,13,2022-08-13,August,,124d80d11af4b4671c316673502dbba4,,,51.610823,-55.54,,b7215bd3b45954b31c23b0f31d044308,COEI,Public,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,,,,,1,1,Adult. Location approximate: an island beach in Sacred Bay,,,,,,2022-04-01 to 2022-09-30,North Shore,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-2105,,QC,QC,2022,6,12,2022-06-12,June,,e0116c3295a6e8630fd1dc3ddf6d3594,,0f00db478f620afc968f62e55c534ce0,50.2733333,-64.0713889,,e8cd320379e21b8f2929db55cdf4ed0c,COEI,Academic,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,,,,,,,1,,,,,,,2022-04-01 to 2022-09-30,North Shore,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
