OBJECTID,COL_LATDEC,COL_LONDEC,COLNAME,BLOCKNUMBE,COLONY_ID,MAX_COUNT,SPECIES_CO,XLATDEC,XLONDEC,POPMAXCOUN,COLIMPORTA,FIFTY_THOU,UTM_E,UTM_N,UTM_Z,ID_POPULAT,IBA_IMPORT,BufDistanc
41,     48.18840000000,    -64.87710000000,Gascons-Ouest,      0.00000000000,20,     54.00000000000,DCCO,     48.18840000000,    -64.87710000000, 221715.00000000000,      0.00024000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00004000000,0
42,     48.24770000000,    -64.75120000000,Iles Mahy,      0.00000000000,21,   6720.00000000000,HERG,     48.24770000000,    -64.75120000000, 500778.00000000000,      0.01342000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.01816000000,0
43,     48.24770000000,    -64.75120000000,Iles Mahy,      0.00000000000,21,   2818.00000000000,DCCO,     48.24770000000,    -64.75120000000, 221715.00000000000,      0.01271000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000,1400000.00000000000,      0.00201000000,0
44,     48.24770000000,    -64.75120000000,Iles Mahy,      0.00000000000,21,    904.00000000000,GBBG,     48.24770000000,    -64.75120000000, 147252.00000000000,      0.00614000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00502000000,0
45,     48.24770000000,    -64.75120000000,Iles Mahy,      0.00000000000,21,    140.00000000000,COEI,     48.24770000000,    -64.75120000000, 184863.00000000000,      0.00076000000,22A02,      0.00000000000,      0.00000000000,      0.00000000000, 322000.00000000000,      0.00043000000,0
46,     48.33680000000,    -64.68800000000,Barachois de Chandler,      0.00000000000,22,   1600.00000000000,GULL,     48.33680000000,    -64.68800000000,  85059.00000000000,      0.01881000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000,      0.00000000000,      0.00000000000,0
47,     48.33680000000,    -64.68800000000,Barachois de Chandler,      0.00000000000,22,   1172.00000000000,HERG,     48.33680000000,    -64.68800000000, 500778.00000000000,      0.00234000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000, 370000.00000000000,      0.00317000000,0
48,     48.33680000000,    -64.68800000000,Barachois de Chandler,      0.00000000000,22,    434.00000000000,COTE,     48.33680000000,    -64.68800000000, 162215.00000000000,      0.00268000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000, 270000.00000000000,      0.00161000000,0
49,     48.33680000000,    -64.68800000000,Barachois de Chandler,      0.00000000000,22,    170.00000000000,RBGU,     48.33680000000,    -64.68800000000, 479953.00000000000,      0.00035000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000,2000000.00000000000,      0.00008000000,0
50,     48.33680000000,    -64.68800000000,Barachois de Chandler,      0.00000000000,22,      6.00000000000,GBBG,     48.33680000000,    -64.68800000000, 147252.00000000000,      0.00004000000,22A07,      0.00000000000,      0.00000000000,      0.00000000000, 180000.00000000000,      0.00003000000,0
